item_id,brand_id,code,rgb,series_id,pencil_name,color_id,order,inv_qty,wish_qty
6480727,93698434,149,"{""b"": 162, ""g"": 119, ""r"": 0}",NULL,"{""en"": ""bluish turquoise"", ""ja"": """"}",NULL,52,0,0
7099675,93698434,178,"{""b"": 107, ""g"": 124, ""r"": 146}",NULL,"{""en"": ""nougat"", ""ja"": """"}",NULL,99,0,0
7602611,93698434,268,"{""b"": 57, ""g"": 148, ""r"": 202}",NULL,"{""en"": ""green gold"", ""ja"": """"}",NULL,94,0,0
7638016,45853241,OP 371,"{""b"": 167, ""g"": 158, ""r"": 99}",NULL,"{""en"": ""sky mist"", ""ja"": ""スカイミスト""}",NULL,102,0,0
8125748,45853241,OP 368,"{""b"": 131, ""g"": 67, ""r"": 37}",NULL,"{""en"": ""purussian blue"", ""ja"": ""プルシャンブルー""}",NULL,101,0,0
8183091,45853241,OP 031,"{""b"": 96, ""g"": 81, ""r"": 226}",NULL,"{""en"": ""carnation"", ""ja"": ""カーネーション""}",NULL,6,0,0
8501089,45853241,OP 269,"{""b"": 115, ""g"": 114, ""r"": 30}",NULL,"{""en"": ""triton green"", ""ja"": ""トリトングリーン""}",NULL,73,0,0
8507274,45853241,OP 192,"{""b"": 51, ""g"": 101, ""r"": 165}",NULL,"{""en"": ""tan"", ""ja"": ""タン""}",NULL,52,0,0
8532776,93698434,276,"{""b"": 127, ""g"": 152, ""r"": 0}",NULL,"{""en"": ""chrome oxide green fiery"", ""ja"": """"}",NULL,61,0,0
8624170,93698434,135,"{""b"": 161, ""g"": 104, ""r"": 171}",NULL,"{""en"": ""light red-violet"", ""ja"": """"}",NULL,32,0,0
8887494,93698434,193,"{""b"": 100, ""g"": 81, ""r"": 170}",NULL,"{""en"": ""burnt carmine"", ""ja"": """"}",NULL,81,0,0
9019918,93698434,192,"{""b"": 74, ""g"": 71, ""r"": 145}",NULL,"{""en"": ""Indian red"", ""ja"": """"}",NULL,79,0,0
9643124,45853241,OP 182,"{""b"": 52, ""g"": 55, ""r"": 64}",NULL,"{""en"": ""sepia"", ""ja"": ""セピア""}",NULL,48,0,0
10509223,45853241,OP 262,"{""b"": 72, ""g"": 118, ""r"": 45}",NULL,"{""en"": ""sap green"", ""ja"": ""サップグリーン""}",NULL,70,0,0
10588815,45853241,OP 275,"{""b"": 139, ""g"": 175, ""r"": 110}",NULL,"{""en"": ""surf green"", ""ja"": ""サーフグリーン""}",NULL,78,0,0
10614878,45853241,OP 441,"{""b"": 149, ""g"": 61, ""r"": 56}",NULL,"{""en"": ""violet"", ""ja"": ""バイオレット""}",NULL,112,0,0
10911230,45853241,OP 294,"{""b"": 58, ""g"": 100, ""r"": 51}",NULL,"{""en"": ""jasper green"", ""ja"": ""ジャスパーグリーン""}",NULL,84,0,0
11029448,45853241,OP 349,"{""b"": 169, ""g"": 88, ""r"": 36}",NULL,"{""en"": ""ultra blue"", ""ja"": ""ウルトラブルー""}",NULL,99,0,0
11418216,45853241,OP 395,"{""b"": 211, ""g"": 163, ""r"": 97}",NULL,"{""en"": ""saxe blue"", ""ja"": ""サックスブルー""}",NULL,104,0,0
11926292,45853241,OP 531,"{""b"": 218, ""g"": 213, ""r"": 210}",NULL,"{""en"": ""cool grey #1"", ""ja"": ""クールグレイ#1""}",NULL,133,0,0
12415743,45853241,OP 060,"{""b"": 63, ""g"": 36, ""r"": 145}",NULL,"{""en"": ""wine red"", ""ja"": ""ワインレッド""}",NULL,19,0,0
12558389,93698434,128,"{""b"": 152, ""g"": 109, ""r"": 240}",NULL,"{""en"": ""light purple pink"", ""ja"": """"}",NULL,29,0,0
12773753,45853241,OP 720,"{""b"": 167, ""g"": 104, ""r"": 192}",NULL,"{""en"": ""luminous opera"", ""ja"": ""ルミナスオペラ""}",NULL,147,0,0
13982944,93698434,217,"{""b"": 79, ""g"": 69, ""r"": 188}",NULL,"{""en"": ""middle cadmium red"", ""ja"": """"}",NULL,19,0,0
